Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000155592,ZKSCAN2,0.02221438617771527,0.2523789099048672,0.8196651201119832,0.01585099754478844,-0.3959359767691053,0.6140256829268148,0.033931781656821966,1.2474091486746772,1.0
ENSG00000274925,ZKSCAN2-DT,0.005126396810241985,-0.9700135114315804,0.4299332778358309,0.008806109747104688,0.7999842332061515,0.5738823037557499,0.016965890828410983,2.3702658964602117,1.0
ENSG00000182601,HS3ST4,0.0,-2.4845866842613376,0.4299332778358309,0.0,0.6744533511222919,1.0,0.016965890828410983,6.2771564920687295,0.854866017203039
ENSG00000236481,LINC02195,0.0,-3.0695491849824945,0.1562166430301441,0.003522443898841875,3.259415851843449,0.13479234569652826,0.0,3.6921939913475734,1.0
ENSG00000155666,KDM8,0.006835195746989314,-1.243578584757544,0.2508655859528559,0.0140897755953675,0.9374877569560862,0.40451361916683715,0.033931781656821966,2.4698015700111258,1.0
ENSG00000259940,AC109449.1,0.003417597873494657,1.3227682377962662,0.5374767963510321,0.0,-1.1329015709353119,0.5429313805473066,0.0,2.4698015700111258,1.0
ENSG00000169189,NSMCE1,0.3292285951466519,0.7980150904199543,0.0014017484937407288,0.1778834168915147,-0.8722898273683737,0.0008331797447077312,0.2884201440829867,0.03769055737334037,1.0
ENSG00000245888,NSMCE1-DT,0.0005695996455824428,-1.4845866842613376,0.6430063554178386,0.0,0.0894908504011358,1.0,0.016965890828410983,5.2771564920687295,0.9659319193333278
ENSG00000274092,AC106739.1,0.0,-2.4845866842613376,0.4299332778358309,0.0017612219494209376,2.674453351122292,0.40451361916683715,0.0,4.2771564920687295,1.0
ENSG00000077238,IL4R,0.048415969874507636,-1.7021781193339658,2.430367498951667e-11,0.1585099754478844,1.6123923829900408,7.325098140122544e-10,0.15269301745569885,1.1396529683187953,1.0
