Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000166452,AKIP1,0.1323231851314004,-1.0452411143108544,2.230984756658366e-06,0.2756265000739997,1.0452411143108544,2.230984756658366e-06
ENSG00000175348,TMEM9B,0.21171709621024065,-0.17237690707802233,0.5590699112486174,0.23962630414596708,0.17237690707802233,0.5590699112486174
ENSG00000254860,TMEM9B-AS1,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000175352,NRIP3,0.008270199070712525,1.3320956757827656,0.3162623110307168,0.0033750183682530574,-1.3320956757827656,0.3162623110307168
ENSG00000175356,SCUBE2,0.0959343092202653,-1.4393858000839446,2.0763241473139536e-06,0.263813935785114,1.4393858000839446,2.0763241473139536e-06
ENSG00000184014,DENND5A,0.21171709621024065,0.25283239725811235,0.35733300135276763,0.17831347045603654,-0.25283239725811235,0.35733300135276763
ENSG00000166471,TMEM41B,0.11578278698997535,0.18067326056688282,0.639000397170171,0.10293806023171825,-0.18067326056688282,0.639000397170171
ENSG00000205339,IPO7,0.327499883200216,-0.17520949658295337,0.578932432520332,0.37068951744646084,0.17520949658295337,0.578932432520332
ENSG00000268403,AC132192.2,0.00661615925657002,-0.5830154266307215,0.5604834644862813,0.011812564288885701,0.5830154266307215,0.5604834644862813
ENSG00000166478,ZNF143,0.03804291572527762,-0.05037396103964742,1.0,0.04050022041903669,0.05037396103964742,1.0
ENSG00000166483,WEE1,0.11412874717583285,-0.4761002227142095,0.08582773438241746,0.16031337249202024,0.4761002227142095,0.08582773438241746
ENSG00000133789,SWAP70,0.21171709621024065,-0.007931834950854366,1.0,0.21375116332269364,0.007931834950854366,1.0
ENSG00000245522,LINC02709,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000246273,SBF2-AS1,0.01654039814142505,-1.3436322888615733,0.006888504152181397,0.045562747971416274,1.3436322888615733,0.006888504152181397
ENSG00000133812,SBF2,0.04300503516770513,-0.41854485528051644,0.361947768137152,0.05906282144442851,0.41854485528051644,0.361947768137152
ENSG00000286561,AC011092.3,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000148926,ADM,0.2977271665456509,1.644943048064717,7.118841738102423e-11,0.09506301737246112,-1.644943048064717,7.118841738102423e-11
ENSG00000133805,AMPD3,0.03969695553942012,2.1983442868939385,2.297669213357954e-05,0.008437545920632644,-2.1983442868939385,2.297669213357954e-05
ENSG00000255823,MTRNR2L8,0.8667168626106727,2.361843019176818,6.60566623646342e-39,0.16818841535127738,-2.361843019176818,6.60566623646342e-39
ENSG00000110315,RNF141,0.1323231851314004,-0.44995780791197815,0.09318255295885178,0.1822509918856651,0.44995780791197815,0.09318255295885178
ENSG00000177112,MRVI1-AS1,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
ENSG00000133800,LYVE1,0.2696084897052283,4.742115100294985,1.2546831590264867e-59,0.009562552043383663,-4.742115100294985,1.2546831590264867e-59
ENSG00000072952,MRVI1,0.10255046847683531,3.624877425010612,8.043893557989462e-21,0.007875042859257135,-3.624877425010612,8.043893557989462e-21
ENSG00000198730,CTR9,0.12405298606068788,-0.04933343085325825,1.0,0.1293757041163672,0.04933343085325825,1.0
ENSG00000110321,EIF4G2,1.4257823197908395,0.3013787677732346,0.05197700719564697,1.1565062941880477,-0.3013787677732346,0.05197700719564697
ENSG00000246308,AC116535.1,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
ENSG00000236287,ZBED5,0.13728530457382793,0.28859403714617926,0.3997251689663276,0.11306311533647743,-0.28859403714617926,0.3997251689663276
ENSG00000247271,ZBED5-AS1,0.041350995353562625,0.08500281381799368,1.0,0.03993771735766118,-0.08500281381799368,1.0
ENSG00000250041,AC069360.1,0.00330807962828501,-0.9480122434099698,0.45249609174450417,0.009000048982008154,0.9480122434099698,0.45249609174450417
ENSG00000110328,GALNT18,0.04300503516770513,1.554488097119214,0.001175710206381634,0.014625079595763249,-1.554488097119214,0.001175710206381634
ENSG00000254598,CSNK2A3,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000255462,AC104031.1,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000170242,USP47,0.12570702587483037,0.033372078422683416,1.0,0.12375067350261211,-0.033372078422683416,1.0
ENSG00000050165,DKK3,0.2282574943516657,3.0884666691215648,9.759890809689727e-34,0.02643764388464895,-3.0884666691215648,9.759890809689727e-34
ENSG00000133816,MICAL2,0.05458331386670267,1.432497572740604,0.0006772198305581915,0.020250110209518345,-1.432497572740604,0.0006772198305582012
ENSG00000197702,PARVA,0.2894569674749384,-0.4536858343264867,0.06047910625209257,0.39768966439248526,0.4536858343264867,0.06047910625209257
ENSG00000187079,TEAD1,0.20840901658195565,-0.03802779803357792,1.0,0.21487616944544466,0.03802779803357792,1.0
ENSG00000189431,RASSF10,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000133794,ARNTL,0.04962119442427515,0.8362590655345938,0.07183026528034649,0.02812515306877548,-0.8362590655345938,0.07183026528034649
ENSG00000148925,BTBD10,0.0661615925657002,-0.006823135537297187,1.0,0.06750036736506115,0.006823135537297187,1.0
ENSG00000287548,AC021269.3,0.00661615925657002,1.2914536912854198,0.41953933465675025,0.002812515306877548,-1.2914536912854198,0.41953933465675025
ENSG00000197601,FAR1,0.16871206104253553,0.0912415047977495,0.8444831191444802,0.15918836636926922,-0.0912415047977495,0.8444831191444802
ENSG00000254438,LINC02683,0.0,-0.030474403601942868,1.0,0.0011250061227510192,0.030474403601942868,1.0
ENSG00000262655,SPON1,0.021502517583852566,2.7768805184556618,0.001266048394706194,0.002812515306877548,-2.7768805184556618,0.001266048394706194
